spread,recovery,peak_infection,peak_day,country
0.28900771479036985,0.09999999999999999,17190727.766446214,98,Spain
0.1762140498137361,0.09999999999999999,2838714.8360409783,199,Sri Lanka
0.20022473398044727,0.09439095863214551,10440655.141958939,169,Sudan
0.21143442461781,0.09245470264057006,12059027.473009696,152,Suriname
0.23867691053484827,0.09999999476127845,12987833.948071063,131,Sweden
0.35878676590735464,0.09999994727848711,21893263.797025215,73,Switzerland
0.3068994307855318,0.0847729942704001,22081554.694218267,86,Syria
0.18255115768272606,0.09999999661146952,6017118.721453657,199,Taiwan*
0.25726380607012145,0.08780241461190223,17508677.28308881,110,Tanzania
0.19578535396993382,0.09999999999999999,8763571.621128714,178,Thailand
0.09523764936865263,0.0952376468592081,1.0000000025886022,6,Timor-Leste
0.23341388613073247,0.0999999461222929,12504754.904137436,136,Togo
0.2955098131653867,0.09999999598493169,17694620.509192765,92,Trinidad and Tobago
0.3065603333576957,0.09999983148572746,18490242.197377734,91,Tunisia
0.5188118581382238,0.09999999999506864,29338543.88714291,47,Turkey
0.27396283752884165,0.09999999999999999,16018159.198270686,106,US
0.3664568036477796,0.0817070773630209,26541345.325185187,68,Uganda
0.32271364548747533,0.09999994960626167,19603293.684917115,84,Ukraine
0.18608196232247975,0.09999999999999999,7732023.956159753,188,United Arab Emirates
0.2564655625305856,0.09999999999999999,14571113.10090615,113,United Kingdom
0.31821873804947026,0.09260687786362237,20975571.11754779,78,Uruguay
0.38452202976762034,0.09999962189331796,23378582.42617459,67,Uzbekistan
0.3069518776984476,0.09092400433135227,20598771.95145994,84,Venezuela
0.16740470853167136,0.09999999999999999,1173332.2443629468,199,Vietnam
0.23329030725376948,0.09999982654682503,12493652.583706109,126,West Bank and Gaza
1.0,0.05,47912777.80465915,21,Western Sahara
0.2706808172368922,0.0866305261910154,18918599.858774524,98,Zambia
0.2436987376478127,0.08781699660493247,16310288.381659392,119,Zimbabwe
